"","WordCount","SentimentGI","NegativityGI","PositivityGI","SentimentHE","NegativityHE","PositivityHE","SentimentLM","NegativityLM","PositivityLM","RatioUncertaintyLM","SentimentQDAP","NegativityQDAP","PositivityQDAP","y"
"358",35,0,0.0571428571428571,0.0571428571428571,0,0,0,0,0,0,0.0285714285714286,0.114285714285714,0,0.114285714285714,1.4
"359",40,0.15,0.125,0.275,-0.025,0.025,0,-0.025,0.05,0.025,0,0.2,0,0.2,1.4
"360",105,0.00952380952380952,0.0857142857142857,0.0952380952380952,-0.0285714285714286,0.0380952380952381,0.00952380952380952,-0.0571428571428571,0.0571428571428571,0,0.019047619047619,0.0476190476190476,0.0476190476190476,0.0952380952380952,1.4
"361",67,0.134328358208955,0.0746268656716418,0.208955223880597,-0.0149253731343284,0.0149253731343284,0,-0.0746268656716418,0.0895522388059701,0.0149253731343284,0.0746268656716418,0.0895522388059701,0.0895522388059701,0.17910447761194,1.4
"362",88,0.0340909090909091,0.136363636363636,0.170454545454545,-0.0227272727272727,0.0227272727272727,0,-0.0113636363636364,0.0340909090909091,0.0227272727272727,0.0227272727272727,0.0568181818181818,0.125,0.181818181818182,1.4
"363",74,0.0135135135135135,0.216216216216216,0.22972972972973,0.0540540540540541,0,0.0540540540540541,0,0.0540540540540541,0.0540540540540541,0.0135135135135135,0.108108108108108,0.0810810810810811,0.189189189189189,1.4
"364",59,-0.0338983050847458,0.11864406779661,0.0847457627118644,0.0338983050847458,0.0169491525423729,0.0508474576271186,0,0.0169491525423729,0.0169491525423729,0.0169491525423729,0.0677966101694915,0.0338983050847458,0.101694915254237,1.4
"365",29,0.137931034482759,0.172413793103448,0.310344827586207,0.0689655172413793,0,0.0689655172413793,0.0344827586206897,0.0344827586206897,0.0689655172413793,0,0.206896551724138,0.0689655172413793,0.275862068965517,1.4
"366",16,0.125,0.125,0.25,0.125,0,0.125,-0.0625,0.1875,0.125,0.0625,0.125,0.125,0.25,1.4
"367",142,0.0352112676056338,0.0985915492957746,0.133802816901408,0,0.0211267605633803,0.0211267605633803,-0.00704225352112676,0.0352112676056338,0.028169014084507,0.00704225352112676,0.028169014084507,0.0845070422535211,0.112676056338028,1.4
"368",66,0.0303030303030303,0.151515151515152,0.181818181818182,0.0303030303030303,0.0303030303030303,0.0606060606060606,-0.0303030303030303,0.0606060606060606,0.0303030303030303,0.0303030303030303,0.0909090909090909,0.0606060606060606,0.151515151515152,1.4
"369",157,0.089171974522293,0.0573248407643312,0.146496815286624,0.0318471337579618,0.00636942675159236,0.0382165605095541,0.0191082802547771,0.0318471337579618,0.0509554140127389,0.0127388535031847,0.0764331210191083,0.0636942675159236,0.140127388535032,1.4
